6,6,1
6,7,5
6,8,24
6,9,7
6,10,23
6,11,20
6,13,45
6,14,9
6,15,3
6,16,5
6,17,6
6,5,18
6,22,31
6,23,7
6,24,14
6,25,42
6,26,38
6,27,7
6,28,15
6,29,10
6,31,29
6,32,22
6,33,28
6,34,26
6,35,8
6,36,19
6,39,27
6,40,11
6,41,38
6,42,38
6,44,5
6,46,35
6,47,35
6,48,35
6,49,35
6,50,10
6,51,27
6,53,7
6,37,23
6,54,32
6,55,7
6,43,11
6,56,26
6,57,7
6,58,35
6,59,33
6,60,14
6,2,7
6,3,35
6,12,45
6,18,7
6,19,5
6,21,47
6,45,36
6,52,7
6,1,35
6,20,7
6,30,36
6,38,24
7,6,5
7,7,1
7,8,21
7,9,7
7,10,26
7,11,19
7,13,42
7,14,13
7,15,7
7,16,9
7,17,9
7,5,16
7,22,29
7,23,12
7,24,17
7,25,24
7,26,41
7,27,11
7,28,19
7,29,10
7,31,26
7,32,25
7,33,31
7,34,22
7,35,3
7,36,18
7,39,23
7,40,15
7,41,39
7,42,39
7,44,10
7,46,37
7,47,38
7,48,37
7,49,37
7,50,13
7,51,22
7,53,10
7,37,25
7,54,29
7,55,11
7,43,10
7,56,21
7,57,11
7,58,38
7,59,30
7,60,9
7,2,11
7,3,37
7,12,42
7,18,5
7,19,1
7,21,44
7,45,33
7,52,11
7,1,31
7,20,11
7,30,34
7,38,25
8,6,24
8,7,21
8,8,1
8,9,26
8,10,43
8,11,3
8,13,46
8,14,26
8,15,24
8,16,22
8,17,26
8,5,6
8,22,26
8,23,27
8,24,34
8,25,28
8,26,35
8,27,22
8,28,31
8,29,27
8,31,7
8,32,42
8,33,30
8,34,35
8,35,22
8,36,15
8,39,36
8,40,28
8,41,48
8,42,48
8,44,24
8,46,24
8,47,24
8,48,24
8,49,24
8,50,29
8,51,37
8,53,21
8,37,36
8,54,11
8,55,22
8,43,11
8,56,27
8,57,24
8,58,44
8,59,34
8,60,24
8,2,24
8,3,24
8,12,46
8,18,17
8,19,19
8,21,48
8,45,14
